serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:05,0;T386_20150207_2793_2819 mapMatch;14;T386_20150207_2793_2819 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:01,5;00:09,1;599%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,6;T386_20150212_1389_1466 mapMatch;14;T386_20150212_1389_1466 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:28,3;00:14,5;51%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:06,3;T386_20150212_1712_1767 mapMatch;14;T386_20150212_1712_1767 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:20,4;00:12,2;60%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:00,6;T386_20150212_2640_2693 mapMatch;14;T386_20150212_2640_2693 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:11,6;00:06,8;59%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:00,6;T916_20150207_2161_2181 mapMatch;14;T916_20150207_2161_2181 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:05,4;00:03,6;66%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,6;T916_20150208_2161_2196 mapMatch;14;T916_20150208_2161_2196 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:21,3;00:15,8;74%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,4;T916_20150208_2241_2271 mapMatch;14;T916_20150208_2241_2271 mapMatch14;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,6;112%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,2;T386_20150207_2302_2341 mapMatch;15;T386_20150207_2302_2341 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:20,4;00:15,9;78%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:05,2;T386_20150207_2793_2819 mapMatch;15;T386_20150207_2793_2819 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,7;134%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,8;T386_20150212_1389_1466 mapMatch;15;T386_20150212_1389_1466 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:17,4;00:23,3;134%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:17,7;T386_20150212_1712_1767 mapMatch;15;T386_20150212_1712_1767 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:02,2;00:02,3;106%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:05,9;T386_20150212_2640_2693 mapMatch;15;T386_20150212_2640_2693 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:07,9;00:09,9;126%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:09,8;T916_20150207_2161_2181 mapMatch;15;T916_20150207_2161_2181 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:00,5;00:00,6;105%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:04,9;T916_20150208_2161_2196 mapMatch;15;T916_20150208_2161_2196 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:01,6;00:05,1;311%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,0;T916_20150208_2241_2271 mapMatch;15;T916_20150208_2241_2271 mapMatch15;;T386_20150212_1389_1466;mapMatch;00:01,5;00:04,9;333%;;;;;;;;;;;;;
